,tourney_year,tourney_order,tourney_name,tourney_id,tourney_slug,tourney_location,tourney_dates,tourney_month,tourney_day,tourney_singles_draw,tourney_doubles_draw,tourney_conditions,tourney_surface,tourney_fin_commit,tourney_url_suffix,singles_winner_name,singles_winner_url,singles_winner_player_slug,singles_winner_player_id,doubles_winner_1_name,doubles_winner_1_url,doubles_winner_1_player_slug,doubles_winner_1_player_id,doubles_winner_2_name,doubles_winner_2_url,doubles_winner_2_player_slug,doubles_winner_2_player_id,tourney_year_id
3918,2015,5,Auckland,301.0,auckland,"Auckland, New Zealand",2015.01.12,1.0,12.0,28,28,Outdoor,Hard,"$519,395",/en/scores/archive/auckland/301/2015/results,Jiri Vesely,/en/players/jiri-vesely/v708/overview,jiri-vesely,v708,Raven Klaasen,/en/players/raven-klaasen/k609/overview,raven-klaasen,k609,Leander Paes,/en/players/leander-paes/p269/overview,leander-paes,p269,2015-301.0
3919,2015,6,Australian Open,580.0,australian-open,"Melbourne, Australia",2015.01.19,1.0,19.0,128,128,Outdoor,Hard,"A$17,748,600",/en/scores/archive/australian-open/580/2015/results,Novak Djokovic,/en/players/novak-djokovic/d643/overview,novak-djokovic,d643,Simone Bolelli,/en/players/simone-bolelli/ba98/overview,simone-bolelli,ba98,Fabio Fognini,/en/players/fabio-fognini/f510/overview,fabio-fognini,f510,2015-580.0
3920,2015,7,Montpellier,375.0,montpellier,"Montpellier, France",2015.02.02,2.0,2.0,28,28,Indoor,Hard,"€494,310",/en/scores/archive/montpellier/375/2015/results,Richard Gasquet,/en/players/richard-gasquet/g628/overview,richard-gasquet,g628,Marcus Daniell,/en/players/marcus-daniell/d763/overview,marcus-daniell,d763,Artem Sitak,/en/players/artem-sitak/sd23/overview,artem-sitak,sd23,2015-375.0
3921,2015,8,Quito,7161.0,quito,"Quito, Ecuador",2015.02.02,2.0,2.0,28,28,Outdoor,Clay,"$494,310",/en/scores/archive/quito/7161/2015/results,Victor Estrella Burgos,/en/players/victor-estrella-burgos/e224/overview,victor-estrella-burgos,e224,Gero Kretschmer,/en/players/gero-kretschmer/k719/overview,gero-kretschmer,k719,Alexander Satschko,/en/players/alexander-satschko/sb34/overview,alexander-satschko,sb34,2015-7161.0
3922,2015,9,Zagreb,2276.0,zagreb,"Zagreb, Croatia",2015.02.02,2.0,2.0,28,28,Indoor,Hard,"€494,310",/en/scores/archive/zagreb/2276/2015/results,Guillermo Garcia-Lopez,/en/players/guillermo-garcia-lopez/g476/overview,guillermo-garcia-lopez,g476,Marin Draganja,/en/players/marin-draganja/d934/overview,marin-draganja,d934,Henri Kontinen,/en/players/henri-kontinen/ka80/overview,henri-kontinen,ka80,2015-2276.0
3923,2015,10,Memphis,402.0,memphis,"Memphis, United States",2015.02.09,2.0,9.0,28,28,Indoor,Hard,"$659,070",/en/scores/archive/memphis/402/2015/results,Kei Nishikori,/en/players/kei-nishikori/n552/overview,kei-nishikori,n552,Mariusz Fyrstenberg,/en/players/mariusz-fyrstenberg/f364/overview,mariusz-fyrstenberg,f364,Santiago Gonzalez,/en/players/santiago-gonzalez/g551/overview,santiago-gonzalez,g551,2015-402.0
3924,2015,11,Rotterdam,407.0,rotterdam,"Rotterdam, Netherlands",2015.02.09,2.0,9.0,32,32,Indoor,Hard,"€1,600,855",/en/scores/archive/rotterdam/407/2015/results,Stan Wawrinka,/en/players/stan-wawrinka/w367/overview,stan-wawrinka,w367,Jean-Julien Rojer,/en/players/jean-julien-rojer/r513/overview,jean-julien-rojer,r513,Horia Tecau,/en/players/horia-tecau/t749/overview,horia-tecau,t749,2015-407.0
3925,2015,12,Sao Paulo,533.0,sao-paulo,"Sao Paulo, Brazil",2015.02.09,2.0,9.0,28,28,Indoor,Clay,"$505,655",/en/scores/archive/sao-paulo/533/2015/results,Pablo Cuevas,/en/players/pablo-cuevas/c882/overview,pablo-cuevas,c882,Juan Sebastian Cabal,/en/players/juan-sebastian-cabal/c834/overview,juan-sebastian-cabal,c834,Robert Farah,/en/players/robert-farah/f525/overview,robert-farah,f525,2015-533.0
3926,2015,13,Delray Beach,499.0,delray-beach,"Delray Beach, United States",2015.02.16,2.0,16.0,32,32,Outdoor,Hard,"$549,230",/en/scores/archive/delray-beach/499/2015/results,Ivo Karlovic,/en/players/ivo-karlovic/k336/overview,ivo-karlovic,k336,Bob Bryan,/en/players/bob-bryan/b588/overview,bob-bryan,b588,Mike Bryan,/en/players/mike-bryan/b589/overview,mike-bryan,b589,2015-499.0
3927,2015,14,Marseille,496.0,marseille,"Marseille, France",2015.02.16,2.0,16.0,28,28,Indoor,Hard,"€632,840",/en/scores/archive/marseille/496/2015/results,Gilles Simon,/en/players/gilles-simon/sd32/overview,gilles-simon,sd32,Marin Draganja,/en/players/marin-draganja/d934/overview,marin-draganja,d934,Henri Kontinen,/en/players/henri-kontinen/ka80/overview,henri-kontinen,ka80,2015-496.0
